Yr^AccountId^Name1^DepreciationRate^Amount^Code
1977^AIRCON1^AIR CONDITIONER NO. 1^0.1^730^ADDITION
1977^ELECAL^ELECTRICAL CALCULATOR^0.1^409^ADDITION
1977^ELEMOT^ELECTRICAL MOTOR EQUIPMENT^0.1^22,206.4^ADDITION
1977^EQU^EQUIPMENT^0.1^1,310.4^ADDITION
1977^FACBUI^FACTORY BUILDING^0.02^18,833.99^ADDITION
1977^FEEDMIX1^FEED MIXER NO. 1^0.1^2,772^ADDITION
1977^GRINDMAC1^GRINDING MACHINE NO. 1^0.1^1,525^ADDITION
1977^LANDPROP^LAND PROPERTY^0^4,250^ADDITION
1977^LIFMAC^LIFTING MACHINE^0.1^5,756^ADDITION
1977^OFFFUR^OFFICE FURNITURE^0.05^386.5^ADDITION
1977^SEWMAC^SEWING MACHINE^0.1^633^ADDITION
1978^ELEMOT^ELECTRICAL MOTOR EQUIPMENT^0.1^25,677^ADDITION
1978^FACBUI^FACTORY BUILDING^0.02^30,000^ADDITION
1978^GRINDMAC1^GRINDING MACHINE NO. 1^0.1^2,000^ADDITION
1978^OFFFUR^OFFICE FURNITURE^0.05^105^ADDITION
1978^TOYFORLIFT1^TOYOTA FORKLIFT NO. 1 (WAH 8123)^0.2^31,500^ADDITION
1978^TOYFORLIFT2^TOYOTA FORKLIFT NO. 2 (WAH 6783)^0.2^31,500^ADDITION
1979^EQU^EQUIPMENT^0.1^340^ADDITION
1979^FEEDMIX1^FEED MIXER NO. 1^0.1^5,621^ADDITION
1980^ELEMOT^ELECTRICAL MOTOR EQUIPMENT^0.1^2,450^ADDITION
1980^EQU^EQUIPMENT^0.1^1,586^ADDITION
1980^FEEDMIX1^FEED MIXER NO. 1^0.1^3,915^ADDITION
1980^GRINDMAC1^GRINDING MACHINE NO. 1^0.1^6,615^ADDITION
1980^OFFFUR^OFFICE FURNITURE^0.05^77^ADDITION
1980^SEWMAC^SEWING MACHINE^0.1^1,970^ADDITION
1981^EQU^EQUIPMENT^0.1^480^ADDITION
1981^OFFFUR^OFFICE FURNITURE^0.05^35^ADDITION
1981^SIEMAC1^SIEVING MACHINE NO. 1^0.1^2,829.99^ADDITION
1982^EQU^EQUIPMENT^0.1^24,663^ADDITION
1982^SIEMAC2^SIEVING MACHINE NO. 2^0.1^15,750^ADDITION
1983^BFSALOS^BULK FEED STORAGE&LOADOUT SYS^0.1^20,854.39^ADDITION
1983^ELEMOT^ELECTRICAL MOTOR EQUIPMENT^0.1^282^ADDITION
1983^EQU^EQUIPMENT^0.1^1,435.5^ADDITION
1983^FEEDTANK^FEED TANK^0.1^9,623.02^ADDITION
1983^SIEMAC3^SIEVING MACHINE NO. 3^0.1^11,280^ADDITION
1984^ELEMOT^ELECTRICAL MOTOR EQUIPMENT^0.1^437.5^ADDITION
1984^FEEDMIX1^FEED MIXER NO. 1^0.1^5,170^ADDITION
1984^SEWMAC^SEWING MACHINE^0.1^1,232.2^ADDITION
1985^SEWMAC^SEWING MACHINE^0.1^1,030^ADDITION
1987^FACBUI^FACTORY BUILDING^0.02^104,486.1^ADDITION
1990^OFFFUR^OFFICE FURNITURE^0.05^72^ADDITION
1992^FARMEQ^FARMING EQUIPMENT^0.1^2,450^ADDITION
1992^FEEDTANK2^FEED TANK NO. 2^0.1^19,000^ADDITION
1992^GRINDMAC2^GRINDING MACHINE NO. 2^0.1^7,200^ADDITION
1992^LORACB1938^LORRY ACB 1938^0.2^36,981.12^ADDITION
1992^PIGSTY^PIGSTY^0.1^18,578.67^ADDITION
1992^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^933.95^ADDITION
1993^AIRCON2^AIR CONDITIONER NO. 2^0.1^2,000^ADDITION
1993^AIRCON3^AIR CONDITIONER NO. 3^0.1^3,300^ADDITION
1993^EGGCOLL^AUTOMATIC EGG COLLECTION MACHINE^0.1^66,501^ADDITION
1993^ELEMOT^ELECTRICAL MOTOR EQUIPMENT^0.1^5,267.5^ADDITION
1993^ELEFAN^ELECTRIC FAN^0.1^395^ADDITION
1993^ELEWB^ELECTRONIC WEIGHBRIDGE^0.1^47,000^ADDITION
1993^FARMEQ^FARMING EQUIPMENT^0.1^125,884.24^ADDITION
1993^FEEDEQ^FEEDING SYSTEM EQUIPMENT^0.1^141,007.2^ADDITION
1993^FEEDMIX2^FEED MIXER NO. 2^0.1^16,110.75^ADDITION
1993^FEEDTANK3^FEED TANK NO. 3^0.1^38,713.55^ADDITION
1993^FORLIFT3^FORKLIFT NO. 3 (WAH 3417)^0.2^18,000^ADDITION
1993^FOWLCAGES^FOWL CAGES^0.15^119,976.1^ADDITION
1993^OFFFUR^OFFICE FURNITURE^0.05^3,842.9^ADDITION
1993^PAJACK3118^PEJERO ACK 3118^0.2^90,750.58^ADDITION
1993^PIGSTY^PIGSTY^0.1^243,515.73^ADDITION
1993^PLATSCL^PLATFORM SCALE^0.1^5,000^ADDITION
1993^POUHOU^POULTRY HOUSES^0.15^545,801.55^ADDITION
1993^SEWMAC^SEWING MACHINE^0.1^1,680^ADDITION
1993^STOOFFBUI^STORE AND OFFICE BUILDING^0.02^45,414.89^ADDITION
1993^WATPUM^WATER PUMP^0.1^1,721^ADDITION
1993^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^23,305.27^ADDITION
1993^WELMAC^WELDING MACHINE^0.1^8,305.45^ADDITION
1994^EGGCOLL^AUTOMATIC EGG COLLECTION MACHINE^0.1^2,700^ADDITION
1994^ELEINST^ELECTRICAL INSTALLATION^0.1^180,804^ADDITION
1994^ELEFAN^ELECTRIC FAN^0.1^700^ADDITION
1994^FARMEQ^FARMING EQUIPMENT^0.1^38,445^ADDITION
1994^FEEDEQ^FEEDING SYSTEM EQUIPMENT^0.1^22,197.45^ADDITION
1994^FOWLCAGES^FOWL CAGES^0.15^74,358^ADDITION
1994^OFFFUR^OFFICE FURNITURE^0.05^185^ADDITION
1994^PIGSTY^PIGSTY^0.1^87,206.55^ADDITION
1994^POUHOU^POULTRY HOUSES^0.15^202,693.06^ADDITION
1994^STOOFFBUI^STORE AND OFFICE BUILDING^0.02^800^ADDITION
1994^WATPUM^WATER PUMP^0.1^6,000^ADDITION
1994^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^23,885.8^ADDITION
1995^ELEINST^ELECTRICAL INSTALLATION^0.1^30,643^ADDITION
1995^ELEFAN^ELECTRIC FAN^0.1^160^ADDITION
1995^FARMEQ^FARMING EQUIPMENT^0.1^37,096.3^ADDITION
1995^FEEDEQ^FEEDING SYSTEM EQUIPMENT^0.1^101,058.1^ADDITION
1995^FOWLCAGES^FOWL CAGES^0.15^58,362.2^ADDITION
1995^OFFFUR^OFFICE FURNITURE^0.05^2,120^ADDITION
1995^PIGSTY^PIGSTY^0.1^38,732.75^ADDITION
1995^POUHOU^POULTRY HOUSES^0.15^504,957.14^ADDITION
1995^TALTEL^TALKMAN MD59MB TELEPHONE^0.1^1,650^ADDITION
1995^WATPUM^WATER PUMP^0.1^4,540^ADDITION
1995^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^49,310.9^ADDITION
1996^ELEINST^ELECTRICAL INSTALLATION^0.1^31,564^ADDITION
1996^FARMEQ^FARMING EQUIPMENT^0.1^71,099.5^ADDITION
1996^FEEDEQ^FEEDING SYSTEM EQUIPMENT^0.1^40,899^ADDITION
1996^FOWLCAGES^FOWL CAGES^0.15^112,964^ADDITION
1996^PIGSTY^PIGSTY^0.1^34,490.1^ADDITION
1996^POUHOU^POULTRY HOUSES^0.15^387,568.56^ADDITION
1996^STOOFFBUI^STORE AND OFFICE BUILDING^0.02^24,668.1^ADDITION
1996^JEEPAAX5002^SUZUKI JEEP AAX 5002^0.2^14,000^ADDITION
1996^VACCLE^VACCUM CLEANER^0.1^2,100^ADDITION
1996^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^9,873.55^ADDITION
1997^ELEINST^ELECTRICAL INSTALLATION^0.1^34,898^ADDITION
1997^FARMEQ^FARMING EQUIPMENT^0.1^63,751.5^ADDITION
1997^FEEDEQ^FEEDING SYSTEM EQUIPMENT^0.1^11,739.6^ADDITION
1997^FOWLCAGES^FOWL CAGES^0.15^4,200^ADDITION
1997^NIRTIMREC^NIDEKA TIME RECORDER^0.1^1,550^ADDITION
1997^PIGSTY^PIGSTY^0.1^34,355.8^ADDITION
1997^POUHOU^POULTRY HOUSES^0.15^358,970.61^ADDITION
1997^TOYFORLIFTADU9522^TOYOTA FORKLIFT ADH 9522^0.2^69,060^ADDITION
1997^WATPUM^WATER PUMP^0.1^1,405^ADDITION
1997^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^7,298.3^ADDITION
1998^ELEINST^ELECTRICAL INSTALLATION^0.1^45,815.2^ADDITION
1998^ELEFAN^ELECTRIC FAN^0.1^2,000^ADDITION
